idx,HIP,RA_deg,Dec_deg,x,y,z,Vmag,Hpmag
6357,98099,299.04414118,-38.32653751,0.380856411,-0.685836525,-0.620142448,5.9962,6.6200
6358,8983,28.94367913,-60.86097516,0.426110774,0.235649798,-0.873440772,5.9962,6.0700
6359,48672,148.89742353,-17.46946992,-0.816751361,0.492746014,-0.300197568,5.9963,6.8500
6360,56698,174.38582092,-39.35884177,-0.769480512,0.075640484,-0.634175259,5.9963,6.8500
6361,103645,314.99498031,32.49563739,0.596344485,-0.596448985,0.537235389,5.9963,6.8500
6362,27265,86.68956956,15.82249706,0.055557841,0.960505554,0.272658039,5.9964,6.0000
6363,92524,282.84232321,-3.31785655,0.221896199,-0.973351192,-0.057875163,5.9969,6.0800
6364,8366,26.94351722,-80.17631110,0.152097057,0.077308551,-0.985337441,5.9972,6.0500
6365,11231,36.14117931,-40.84045844,0.610950864,0.446185976,-0.653954980,5.9972,6.1700
6366,1429,4.46350506,20.22699418,0.935484380,0.073024693,0.345740320,5.9973,6.9100
6367,35463,109.80702181,-33.72716651,-0.281821162,0.782487490,-0.555238832,5.9979,6.3100
6368,50492,154.65772440,-36.80457208,-0.723631368,0.342712442,-0.599087493,5.9979,6.3100
6369,96917,295.51218096,-9.19365434,0.425170150,-0.890900273,-0.159771859,5.9979,6.3100
6370,42850,130.97636894,-68.21158037,-0.243400541,0.280233640,-0.928560867,5.9979,6.3300
6371,45603,139.42619163,-54.49482873,-0.441139609,0.377752709,-0.814063103,5.9979,6.3300
6372,70580,216.55601716,-42.31859691,-0.593951612,-0.440400377,-0.673252546,5.9979,6.3300
6373,30326,95.68159380,-2.19541700,-0.098927417,0.994357015,-0.038307880,5.9979,7.5200
6374,38502,118.27196347,-11.62482149,-0.463941672,0.862644167,-0.201502271,5.9979,7.5200
6375,60534,186.14132469,-49.44020010,-0.646509627,-0.069563606,-0.759727719,5.9979,7.5200
6376,108061,328.40706613,19.17497602,0.804534080,-0.494815905,0.328454158,5.9979,7.5200
6377,9859,31.70514575,25.70455349,0.766574489,0.473541167,0.433730695,5.9982,6.0100
6378,31758,99.64760969,-16.87354681,-0.160372949,0.943413702,-0.290260406,5.9982,6.0100
6379,87024,266.72163444,36.08747667,-0.046213927,-0.806796146,0.589019738,5.9983,6.5500
6380,112428,341.58776560,46.21508242,0.656531097,-0.218554542,0.721942401,5.9983,6.5500
6381,49769,152.38236748,-35.85677070,-0.718138075,0.375714964,-0.585761019,5.9986,6.1400
6382,73354,224.86330921,-43.15983279,-0.517026947,-0.514565867,-0.684035894,5.9988,6.1000
6383,47559,145.44969741,-55.21376170,-0.469893558,0.323556669,-0.821286263,5.9991,5.9900
6384,101909,309.77069661,15.83819878,0.615430641,-0.739431454,0.272921692,5.9991,5.9900
6385,41319,126.45781666,17.04626709,-0.568125256,0.768960586,0.293143838,5.9991,6.1100
6386,20347,65.38048045,-25.72857962,0.375289991,0.818967177,-0.434108495,5.9993,6.0800
6387,57079,175.51470262,-20.29416752,-0.935051792,0.073348748,-0.346840176,5.9995,6.2100
6388,74121,227.22296625,13.23524218,-0.661107815,-0.714505778,0.228949667,5.9995,6.1600
6389,90651,277.44483355,-14.58198661,0.125397823,-0.959629990,-0.251765105,5.9995,6.0200
6390,9564,30.71865218,64.90146584,0.364658398,0.216678906,0.905579651,6.0000,6.0000
6391,84631,259.52058199,17.31788648,-0.173637202,-0.938744352,0.297672915,6.0000,6.0000
6392,19736,63.45765387,12.75370109,0.435834238,0.872532719,0.220760438,6.0001,6.2500
6393,37636,115.84242040,22.39947198,-0.403008885,0.832091161,0.381061856,6.0001,6.2500
6394,46893,143.33293988,-7.19020437,-0.795811319,0.592468070,-0.125163614,6.0001,6.2500
6395,81632,250.14382465,-20.40864931,-0.318339548,-0.881509389,-0.348713534,6.0001,6.2500
6396,96706,294.89390296,45.95743919,0.292633847,-0.630601361,0.718823591,6.0001,6.2500
6397,103902,315.79245442,-27.73159413,0.634482952,-0.617170308,-0.465330200,6.0001,6.2500
6398,7597,24.46695355,-3.44067786,0.908559639,0.413421785,-0.060015072,6.0004,6.4300
6399,8475,27.31476624,47.89692390,0.595708773,0.307662676,0.741939846,6.0006,6.0100
6400,59364,182.69206657,27.28150517,-0.887784384,-0.041743650,0.458362689,6.0006,6.0100
6401,70952,217.69195909,63.18578770,-0.356958803,-0.275809103,0.892473950,6.0008,6.1000
6402,19412,62.36488029,59.90807092,0.232563785,0.444190138,0.865222057,6.0008,6.2900
