_RA,_DE,HR,SpT,52,33-52,35-52,37-52,40-52,45-52,52-58,52-63,52-72,52-80,52-86,52-99,52-110
196.72766,-49.90624,4942,B1.5 V,4.250,-1.300,-1.230,-0.720,-0.290,-0.060,-0.060,-0.140,,,,,
196.79471,27.62474,4954,K5 III,5.225,3.267,2.834,2.858,2.227,0.622,0.787,1.224,1.683,2.038,2.213,2.469,2.700
197.48746,-5.53901,4963,A1 V,4.407,0.032,0.037,-0.052,-0.026,0.012,0.024,0.050,0.048,0.046,0.055,0.061,0.075
198.07331,-59.92058,4975,B8 V,4.500,-0.720,-0.680,-0.400,-0.140,-0.030,-0.050,-0.060,,,,,
197.96831,27.87818,4983,G0 V,4.365,0.332,0.277,0.490,0.664,0.291,0.303,0.473,0.642,0.795,0.837,0.892,0.996
198.81225,-67.89459,4993,B8 V,4.760,-0.670,-0.620,-0.360,-0.140,-0.040,-0.080,-0.080,,,,,
199.38559,40.57261,5017,F0 II-IIIp,4.788,0.480,0.415,0.352,0.373,0.137,0.190,0.255,0.352,0.417,0.436,0.477,0.533
199.60131,-18.31120,5019,G6 V,4.925,0.664,0.568,0.795,0.850,0.326,0.365,0.581,0.837,0.991,1.041,1.128,1.282
199.73040,-23.17151,5020,G8 III,3.208,1.338,1.136,1.258,1.164,0.404,0.454,0.702,0.959,1.162,1.234,1.370,1.547
200.15760,-52.74782,5026,B5 III,5.490,-0.760,-0.710,-0.430,-0.190,-0.050,-0.040,-0.090,,,,,
200.14924,-36.71229,5028,A2 V,2.767,0.039,0.035,0.079,0.046,0.006,0.035,0.025,0.091,0.093,0.077,0.072,0.103
200.65807,-60.98839,5035,B3 V,4.490,-1.030,-0.960,-0.600,-0.220,-0.050,-0.080,-0.150,,,,,
200.98143,54.92536,5054,A2 V,2.072,0.046,0.038,0.075,0.037,0.004,0.026,0.034,0.034,0.053,0.050,0.048,0.020
201.29825,-11.16132,5056,B1 V,0.952,-1.559,-1.438,-0.937,-0.319,-0.094,-0.063,-0.113,-0.180,-0.234,-0.296,-0.454,-0.511
201.30641,54.98796,5062,A5 V,4.033,0.182,0.156,0.189,0.198,0.068,0.075,0.139,0.183,0.234,0.217,0.253,0.267
201.86318,-15.97358,5068,K1 III,5.010,1.953,1.805,1.819,1.522,0.495,0.500,0.795,1.038,1.238,1.311,1.504,1.723
202.10754,13.77879,5072,G5 V,5.172,0.666,0.559,0.776,0.886,0.349,0.352,0.577,0.788,0.963,1.029,1.106,1.227
202.42826,-23.28133,5080,gM7 e,8.920,3.340,2.330,1.290,0.957,1.578,0.977,2.706,4.311,5.982,6.567,8.485,9.191
202.76107,-39.40731,5089,G8 III,4.182,2.110,1.864,1.896,1.655,0.572,0.541,0.832,1.147,1.392,1.507,1.693,1.897
202.99119,-6.25582,5095,M2+III,5.122,3.684,3.143,3.057,2.433,0.758,0.745,1.268,1.935,2.463,2.682,3.012,3.291
203.53305,3.65896,5105,A2 p,4.938,-0.039,-0.082,0.006,0.006,-0.015,0.079,0.079,0.039,0.052,0.031,0.045,0.048
203.67394,-0.59594,5107,A3 Vn,3.380,0.151,0.125,0.176,0.131,0.064,0.067,0.102,0.023,0.087,0.104,0.124,0.182
203.69920,37.18242,5110,F2 IV,5.068,0.329,0.234,0.297,0.426,0.205,0.196,0.367,0.473,0.614,0.662,0.735,0.800
203.61358,49.01597,5112,A4 V,4.692,0.285,0.231,0.182,0.161,0.076,0.058,0.111,0.130,0.169,0.161,0.166,0.141
204.36512,36.29490,5127,A7 III,4.810,0.298,0.223,0.200,0.258,0.122,0.122,0.222,0.253,0.318,0.339,0.343,0.386
204.97191,-53.46639,5132,B1 III,2.283,-1.545,-1.364,-0.924,-0.322,-0.076,-0.087,-0.169,-0.185,-0.241,-0.297,-0.478,-0.539
205.18447,54.68164,5154,M2 III,5.057,3.615,3.088,3.063,2.433,0.769,0.754,1.276,1.944,2.436,2.631,2.961,3.171
206.81560,17.45690,5185,F7 V,4.603,0.282,0.199,0.378,0.557,0.239,0.244,0.405,0.509,0.658,0.662,0.717,0.815
207.37615,-41.68771,5190,B2 IV,3.342,-1.463,-1.329,-0.857,-0.301,-0.073,-0.081,-0.145,-0.216,-0.268,-0.334,-0.475,-0.499
206.88516,49.31327,5191,B3 V,1.829,-1.121,-1.020,-0.650,-0.220,-0.052,-0.081,-0.126,-0.177,-0.205,-0.253,-0.364,-0.449
207.40412,-42.47373,5193,B2 IV-Ve,3.429,-1.421,-1.327,-0.825,-0.243,-0.038,-0.049,-0.028,-0.150,-0.189,-0.256,-0.379,-0.442
