_RA,_DE,HR,SpT,52,33-52,35-52,37-52,40-52,45-52,52-58,52-63,52-72,52-80,52-86,52-99,52-110
313.70251,-58.45416,7986,K0 III,3.961,2.390,2.011,2.169,1.739,0.634,0.606,0.873,1.162,1.402,1.533,1.746,1.990
313.16347,-8.98332,7990,A8 m,4.838,0.355,0.301,0.325,0.408,0.170,0.183,0.269,0.394,0.472,0.506,0.508,0.559
313.03198,27.09698,7995,G8 III,4.754,1.085,0.919,1.031,1.045,0.396,0.382,0.625,0.855,1.053,1.129,1.246,1.408
313.31148,44.38726,8001,B5 V,4.765,-0.967,-0.883,-0.580,-0.182,-0.033,-0.038,-0.078,-0.108,-0.149,-0.198,-0.262,-0.259
313.95752,47.41766,8020,B8 Ia,5.795,-0.077,-0.157,-0.047,0.451,0.316,0.234,0.437,0.650,0.780,0.895,0.983,1.037
314.29341,41.16714,8028,A0 V,3.971,0.092,0.076,-0.112,-0.015,0.017,0.008,0.045,0.066,0.075,0.082,0.106,0.106
314.95649,47.52095,8047,B1.5 nne,4.595,-1.364,-1.296,-0.769,-0.096,0.048,0.017,0.105,0.212,0.233,0.162,0.035,0.117
316.10126,-19.85499,8060,A5 V,4.888,0.204,0.168,0.197,0.179,0.069,0.102,0.128,0.223,0.265,0.276,0.309,0.375
316.48678,-17.23286,8075,A0 V,4.115,-0.017,-0.020,0.003,-0.001,0.003,0.007,0.017,0.008,0.007,0.005,0.000,0.012
316.23276,43.92785,8079,K5 Ib,4.135,3.135,2.804,2.770,2.332,0.758,0.804,1.236,1.733,2.122,2.297,2.598,2.912
316.78195,-25.00586,8080,M1 III,4.969,3.627,3.046,3.038,2.367,0.741,0.846,1.273,1.849,2.276,2.458,2.785,3.084
316.72480,38.74944,8085,K5 V,5.698,1.736,1.513,1.864,1.486,0.301,0.820,1.182,1.636,1.880,1.979,2.172,2.359
316.73027,38.74206,8086,K7 V,6.540,2.027,1.776,2.061,1.707,0.407,0.888,1.337,1.804,2.240,2.374,2.597,2.941
316.65039,47.64840,8089,K4 Ib-IIa,4.960,3.292,2.910,2.886,2.356,0.719,0.760,1.209,1.611,1.963,2.132,2.401,2.673
317.39854,-11.37169,8093,G8 III,4.728,1.410,1.232,1.342,1.225,0.439,0.429,0.712,0.953,1.158,1.275,1.405,1.562
317.58542,10.13158,8097,F0 p,4.789,0.238,0.206,0.284,0.344,0.115,0.125,0.216,0.274,0.327,0.352,0.384,0.413
318.23411,30.22692,8115,G8 II,3.447,1.510,1.373,1.444,1.335,0.479,0.442,0.708,0.914,1.123,1.229,1.372,1.512
318.62006,10.00698,8123,F7 V,4.597,0.232,0.160,0.351,0.560,0.258,0.253,0.438,0.522,0.685,0.737,0.789,0.906
318.69789,38.04532,8130,F0 IV,3.842,0.286,0.207,0.306,0.463,0.229,0.196,0.335,0.474,0.575,0.624,0.666,0.740
318.95597,5.24785,8131,G0 III + A5 V,4.020,0.690,0.611,0.653,0.607,0.240,0.256,0.460,0.614,0.766,0.819,0.934,1.075
319.35397,39.39468,8143,B9 Iab,4.236,-0.446,-0.435,-0.429,0.037,0.101,0.080,0.167,0.168,0.215,0.289,0.279,0.322
319.47948,34.89690,8146,B2 Ve,4.374,-1.293,-1.213,-0.736,-0.177,-0.010,-0.019,0.030,0.044,0.096,0.019,-0.101,-0.093
319.64488,62.58557,8162,A7 IV-V,2.501,0.302,0.246,0.244,0.272,0.110,0.108,0.181,0.242,0.291,0.329,0.356,0.384
320.56165,-16.83454,8167,G8 III,4.490,1.236,1.053,1.168,1.120,0.424,0.422,0.688,0.892,1.106,1.175,1.313,1.454
320.52166,19.80451,8173,K1 III,4.349,1.926,1.727,1.805,1.490,0.494,0.528,0.833,1.118,1.363,1.461,1.633,1.802
321.61085,-65.36620,8181,F8 V,4.346,0.164,-0.003,0.290,0.488,0.293,0.288,0.428,0.623,0.810,0.819,0.879,1.036
321.66678,-22.41133,8204,G4 Ibp,3.965,1.352,1.163,1.332,1.343,0.514,0.468,0.677,0.905,1.088,1.163,1.287,1.460
322.48706,23.63884,8225,M1 III,4.951,3.491,3.020,2.982,2.353,0.691,0.791,1.267,1.832,2.311,2.490,2.819,3.066
322.88972,-5.57118,8232,G0 Ib,3.094,1.322,1.063,1.022,1.058,0.397,0.402,0.636,0.851,1.024,1.095,1.217,1.333
322.16499,70.56072,8238,B2 III,3.186,-1.562,-1.431,-0.961,-0.316,-0.084,-0.097,-0.139,-0.292,-0.341,-0.416,-0.538,-0.558
323.49522,45.59184,8252,G8 III,4.196,1.224,1.046,1.167,1.125,0.419,0.416,0.690,0.997,1.202,1.286,1.414,1.593
325.36937,-77.39004,8254,K0 III,4.018,1.710,1.436,1.621,1.307,0.468,0.530,0.766,1.021,1.144,1.393,1.531,1.755
323.69402,38.53406,8255,K0 III,5.143,1.859,1.673,1.737,1.449,0.468,0.548,0.852,1.115,1.337,1.447,1.632,1.817
324.27013,-19.46601,8260,B2.5 Vp,4.633,-1.014,-0.949,-0.800,-0.262,-0.046,-0.058,-0.048,-0.103,-0.135,-0.128,-0.223,-0.226
324.01040,45.37459,8262,gM4 e,5.733,3.735,2.766,2.291,1.780,1.207,0.532,1.592,3.321,4.344,4.750,5.633,6.061
324.43796,-7.85420,8264,A7 V,4.749,0.320,0.258,0.215,0.212,0.081,0.086,0.151,0.212,0.250,0.273,0.299,0.331
325.02274,-16.66231,8278,A8 m,3.764,0.482,0.418,0.361,0.407,0.133,0.160,0.247,0.318,0.410,0.397,0.459,0.561
324.48010,62.08194,8279,B2 Ib,4.839,-0.558,-0.566,-0.286,0.243,0.228,0.169,0.293,0.426,0.489,0.528,0.530,0.609
325.66461,-18.86632,8288,G8 III,4.924,1.284,1.038,1.152,1.118,0.433,0.402,0.687,0.914,1.136,1.227,1.344,1.495
325.50452,35.51020,8297,"C6,3",6.888,12.000,7.600,7.134,5.263,1.513,1.305,2.043,2.637,3.152,3.697,4.124,4.529
325.52360,51.18962,8301,B3 V,4.688,-1.025,-0.954,-0.659,-0.168,-0.021,-0.051,-0.051,-0.110,-0.130,-0.187,-0.272,-0.302
326.23671,-33.02578,8305,A0 V,4.349,-0.141,-0.196,-0.103,-0.064,0.028,0.028,-0.028,-0.068,-0.022,-0.070,-0.052,-0.098
326.04648,9.87501,8308,K2 Ib,2.794,3.103,2.715,2.687,2.238,0.735,0.738,1.125,1.455,1.775,1.919,2.183,2.429
326.03579,28.74261,8309,F6 V,4.571,0.170,0.088,0.277,0.523,0.222,0.239,0.407,0.576,0.687,0.720,0.780,0.885
326.12790,17.35002,8313,G5 Ib,4.556,1.924,1.693,1.722,1.547,0.541,0.517,0.819,1.102,1.352,1.460,1.649,1.796
326.16140,25.64504,8315,F5 IV,4.222,0.198,0.117,0.250,0.435,0.209,0.234,0.380,0.543,0.658,0.687,0.739,0.827
325.87692,58.78004,8316,M2 Ia,4.635,4.892,4.418,4.043,3.329,1.351,1.037,1.846,2.896,3.586,3.952,4.572,4.951
325.48039,71.31142,8317,K0 III,4.803,2.020,1.824,1.877,1.538,0.486,0.526,0.829,1.084,1.319,1.423,1.586,1.771
326.76018,-16.12729,8322,A6 m,2.949,0.256,0.215,0.282,0.359,0.162,0.168,0.277,0.366,0.445,0.467,0.491,0.536
326.22200,62.46057,8327,O9 II,6.004,-0.719,-0.722,-0.319,0.274,0.229,0.170,0.292,0.398,0.535,0.559,0.538,0.535
326.36219,61.12081,8334,A2 Ia,4.435,0.808,0.586,0.201,0.483,0.339,0.277,0.475,0.672,0.837,0.999,1.102,1.234
326.69837,49.30957,8335,B3 III,4.224,-1.121,-1.045,-0.724,-0.180,-0.024,-0.022,-0.041,-0.088,-0.096,-0.134,-0.236,-0.221
328.48219,-37.36486,8353,B8 II,3.005,-0.551,-0.546,-0.411,-0.156,0.005,-0.008,-0.058,-0.073,-0.099,-0.126,-0.150,-0.075
329.47947,-54.99258,8368,F0 IV,4.478,0.361,0.274,0.260,0.309,0.144,0.165,0.248,,,,,
329.16310,63.62556,8383,M2 Iab + B6 II,5.419,1.176,1.094,1.548,2.005,0.941,0.866,1.572,2.381,3.009,3.305,3.779,4.141
330.84024,-56.78598,8387,K5 V,5.069,1.577,1.377,1.716,1.328,0.337,0.708,1.001,1.319,1.558,1.688,1.875,2.005
330.82852,-2.15536,8402,B8 V,4.719,-0.694,-0.630,-0.508,-0.156,-0.023,-0.011,0.001,-0.046,-0.040,-0.043,-0.102,-0.065
331.52869,-39.54335,8411,K2 III,4.817,2.892,2.541,2.601,2.056,0.581,0.699,1.073,,,,,
331.41980,5.05853,8413,K4 III,5.270,3.105,2.742,2.768,2.136,0.579,0.766,1.167,1.545,1.882,2.028,2.277,2.526
331.44598,-0.31985,8414,G2 Ib,3.179,1.590,1.333,1.300,1.289,0.481,0.450,0.708,0.889,1.158,1.229,1.371,1.517
330.94773,64.62798,8417,A3 m,4.332,0.298,0.244,0.324,0.433,0.182,0.194,0.289,0.411,0.508,0.531,0.563,0.619
331.60928,-13.86968,8418,B8 V,4.259,-0.550,-0.489,-0.305,-0.099,-0.019,-0.045,-0.044,-0.080,-0.092,-0.120,-0.164,-0.134
332.05827,-46.96097,8425,B7 IV,1.736,-0.770,-0.757,-0.506,-0.211,-0.015,-0.003,-0.064,-0.088,-0.109,-0.145,-0.208,-0.198
331.75277,25.34511,8430,F5 V,3.858,0.180,0.123,0.307,0.505,0.227,0.219,0.367,0.543,0.665,0.703,0.745,0.850
332.09587,-32.98847,8431,A2 V,4.480,0.157,0.136,0.072,0.064,0.068,0.007,0.007,,,,,
332.54994,6.19786,8450,A2 V,3.546,0.169,0.136,0.138,0.105,0.041,0.025,0.036,0.069,0.084,0.089,0.121,0.181
332.49685,33.17822,8454,F5 II-III,4.384,0.634,0.489,0.417,0.550,0.261,0.233,0.386,0.507,0.649,0.686,0.766,0.914
332.71365,58.20126,8465,K1 Ib,3.741,3.100,2.759,2.724,2.271,0.768,0.731,1.132,1.459,1.779,1.938,2.197,2.440
332.45179,72.34121,8468,G8 III,5.026,1.382,1.184,1.238,1.182,0.434,0.421,0.699,0.943,1.148,1.228,1.346,1.518
332.87740,59.41449,8469,O6 I(n)f,5.137,-0.911,-0.877,-0.470,0.153,0.191,0.146,0.250,0.375,0.465,0.462,0.435,0.566
333.46971,39.71493,8485,K3 III,4.853,2.589,2.358,2.370,1.938,0.625,0.705,1.087,1.440,1.755,1.893,2.156,2.413
333.90384,-41.34670,8486,G8 III + G,4.988,1.147,0.890,1.030,0.959,0.418,0.420,0.624,0.752,0.942,1.015,1.179,1.108
333.75915,57.04358,8494,F0 IV,4.243,0.269,0.207,0.250,0.328,0.152,0.149,0.228,0.360,0.442,0.451,0.477,0.554
333.99240,37.74873,8498,K3 II-III,4.478,2.937,2.627,2.637,2.118,0.655,0.701,1.066,1.400,1.708,1.867,2.107,2.354
334.20848,-7.78329,8499,G8 III-IV,4.402,1.577,1.392,1.472,1.297,0.439,0.468,0.739,0.976,1.191,1.259,1.427,1.585
334.62539,-60.25959,8502,K3 III,3.249,2.810,2.382,2.537,1.971,0.637,0.737,1.073,1.403,1.709,1.859,2.123,2.405
335.41406,-1.38733,8518,B9 III,3.859,-0.180,-0.171,-0.149,-0.082,-0.028,0.007,-0.017,-0.021,-0.021,-0.028,-0.034,-0.035
335.37948,12.20518,8520,B2 V,5.006,-1.264,-1.169,-0.780,-0.228,-0.037,-0.040,-0.068,-0.063,-0.072,-0.128,-0.249,-0.266
335.68419,-45.94795,8521,"S4,7",6.981,4.055,3.751,3.592,3.072,1.348,0.683,1.649,3.092,4.155,4.671,5.404,5.961
335.33058,28.33053,8522,B8 III,4.828,-0.264,-0.247,-0.266,-0.029,0.005,0.035,0.046,0.050,0.064,0.062,0.069,0.069
335.25645,46.53657,8523,B6 IV,4.541,-0.868,-0.786,-0.551,-0.166,-0.037,-0.035,-0.049,-0.086,-0.091,-0.113,-0.188,-0.199
335.89010,52.22905,8538,G9 III,4.660,1.582,1.350,1.464,1.311,0.459,0.484,0.783,1.061,1.297,1.396,1.575,1.752
336.31926,1.37740,8539,B1 nnek,4.630,-1.416,-1.344,-0.801,-0.110,0.042,0.034,0.150,0.188,0.278,0.205,0.108,0.195
336.12913,49.47639,8541,B9 Iab,4.626,-0.384,-0.395,-0.409,0.027,0.088,0.089,0.142,0.177,0.224,0.275,0.263,0.301
336.96468,4.69567,8551,K0 III-IV,5.059,1.741,1.505,1.640,1.399,0.478,0.523,0.842,1.124,1.360,1.494,1.665,1.848
337.31739,-43.49556,8556,G6/8 III,4.211,1.714,1.436,1.561,1.388,0.534,0.495,0.733,0.955,1.201,1.286,1.422,1.734
337.20733,-0.02054,8558,F2 IV,3.770,0.286,0.185,0.276,0.472,0.213,0.215,0.373,0.516,0.641,0.671,0.712,0.796
337.43931,-43.74922,8560,M4.5 IIIa,4.421,3.786,3.090,2.933,2.268,0.888,0.607,1.237,2.173,2.846,3.089,3.542,3.973
337.29277,58.41520,8571,F5 Ib-G1 Ib,4.450,1.388,1.149,1.096,1.097,0.427,0.400,0.664,0.856,1.052,1.120,1.255,1.355
337.38259,47.70689,8572,M0 Iab + B,4.805,2.214,2.119,2.288,2.200,0.853,0.823,1.355,1.952,2.423,2.647,3.012,3.296
337.66173,-10.67795,8573,A0 IV,4.882,-0.082,-0.050,-0.061,-0.027,0.001,-0.001,-0.005,-0.009,-0.037,-0.041,-0.064,-0.061
337.87638,-32.34607,8576,A0 IV,4.286,0.036,0.032,0.041,0.008,0.008,0.014,-0.011,,,,,
337.62192,43.12338,8579,B2 IV,4.480,-1.151,-1.065,-0.716,-0.158,0.003,-0.019,-0.030,-0.036,-0.063,-0.095,-0.174,-0.179
338.25026,-61.98212,8582,M4 III,5.148,3.843,3.089,3.026,2.263,0.868,0.662,1.288,2.342,3.012,3.285,3.728,4.126
337.82292,50.28249,8585,A2 V,3.750,-0.028,-0.034,0.007,0.019,-0.003,-0.003,0.015,-0.014,-0.011,-0.023,-0.015,0.005
338.83909,-0.11750,8597,B8 V,4.026,-0.448,-0.397,-0.320,-0.123,-0.037,-0.019,-0.041,-0.040,-0.052,-0.080,-0.123,-0.127
339.34341,51.54512,8613,A7 IV,4.667,0.336,0.272,0.236,0.272,0.129,0.112,0.198,0.287,0.368,0.390,0.415,0.406
339.81533,39.05027,8622,O9 V,4.846,-1.662,-1.540,-1.000,-0.293,-0.047,-0.066,-0.102,-0.173,-0.209,-0.271,-0.422,-0.458
340.16392,-27.04362,8628,B7 V,4.179,-0.556,-0.507,-0.487,-0.145,0.003,-0.031,-0.063,,,,,
340.12858,44.27631,8632,K3 III,4.815,2.541,2.206,2.279,1.835,0.579,0.644,1.007,1.367,1.640,1.786,2.018,2.215
340.36555,10.83129,8634,B8 V,3.410,-0.460,-0.398,-0.356,-0.155,-0.041,-0.017,-0.029,-0.061,-0.065,-0.070,-0.112,-0.123
340.66688,-46.88458,8636,M3 II,2.413,3.608,2.875,2.783,2.154,0.935,0.595,1.254,2.359,3.061,3.374,3.889,4.248
340.43921,29.30764,8641,A1 V,4.806,0.007,-0.005,-0.048,-0.020,0.002,0.009,-0.012,-0.008,-0.004,-0.025,0.001,-0.005
340.87490,-41.41435,8644,K0 III,5.103,1.660,1.341,1.562,1.294,0.494,0.514,0.772,1.017,1.257,1.355,1.474,1.715
340.89680,-18.83038,8649,K4 III,5.022,2.774,2.415,2.492,1.961,0.597,0.688,1.064,1.444,1.735,1.914,2.127,2.356
340.75057,30.22124,8650,G2 II-III,3.130,1.225,1.052,1.114,1.068,0.401,0.402,0.650,0.873,1.087,1.178,1.320,1.471
341.40784,-53.50012,8655,K2 III CNIV,5.152,2.227,1.736,1.917,1.520,0.561,0.593,0.906,1.247,1.522,1.649,1.864,2.166
341.67325,12.17288,8665,F7 V,4.307,0.238,0.151,0.317,0.552,0.253,0.266,0.427,0.600,0.751,0.800,0.861,0.967
341.63282,23.56565,8667,G8 II-III,4.192,1.782,1.586,1.630,1.439,0.493,0.491,0.770,1.024,1.246,1.349,1.515,1.704
342.13874,-51.31686,8675,A2 V,3.510,0.320,0.205,0.122,0.072,0.063,0.080,0.059,0.111,0.127,0.206,0.229,0.246
342.39792,-13.59263,8679,M0 III,4.440,3.438,2.964,2.968,2.341,0.667,0.782,1.229,1.769,2.180,2.373,2.666,2.922
342.50080,24.60158,8684,G8 III,3.728,1.387,1.197,1.301,1.210,0.446,0.432,0.689,0.981,1.181,1.268,1.398,1.533
342.42007,66.20041,8694,K1 III,3.737,1.753,1.557,1.640,1.405,0.477,0.506,0.782,1.050,1.290,1.384,1.546,1.724
343.13140,-32.87550,8695,A0 V,4.474,-0.151,-0.152,-0.170,-0.051,0.017,-0.006,-0.041,,,,,
343.15364,-7.57960,8698,M2 III,4.140,3.278,2.846,2.839,2.361,0.774,0.775,1.288,2.039,2.548,2.773,3.125,3.430
341.87112,83.15383,8702,K3 III,5.058,2.400,2.109,2.186,1.753,0.541,0.616,0.980,1.314,1.584,1.734,1.930,2.128
343.66256,-15.82083,8709,A3 V,3.281,0.226,0.189,0.107,0.073,0.026,0.044,0.049,0.094,0.108,0.121,0.136,0.134
343.80697,8.81616,8717,A1 V,4.891,0.005,0.017,-0.028,-0.008,0.003,0.017,0.001,0.034,0.033,0.024,0.043,0.083
343.98708,-32.53962,8720,gG8,4.436,1.495,1.201,1.398,1.190,0.473,0.469,0.732,0.910,1.183,1.253,1.449,1.681
344.41269,-29.62224,8728,A3 V,1.172,0.189,0.121,0.181,0.108,0.054,0.049,0.034,0.075,0.070,0.056,0.116,0.096
344.36658,20.76883,8729,G5 V,5.612,0.601,0.510,0.699,0.796,0.309,0.332,0.545,0.722,0.846,0.923,0.987,1.126
345.22005,-52.75413,8747,G5 III,4.336,1.550,1.228,1.427,1.237,0.473,0.470,0.732,1.025,1.254,1.353,1.528,1.793
343.60403,84.34618,8748,K4 III,5.042,3.018,2.641,2.699,2.093,0.595,0.719,1.115,1.475,1.811,1.965,2.178,2.414
345.02126,56.94537,8752,G0 Ia,5.399,2.728,2.346,2.179,2.003,0.808,0.808,1.225,1.689,2.046,2.262,2.605,2.828
345.48027,42.32598,8762,B6 p,3.637,-0.881,-0.806,-0.641,-0.179,-0.022,-0.008,-0.026,-0.014,-0.028,-0.024,-0.085,-0.093
345.96922,3.82005,8773,B5 pe,4.505,-0.827,-0.769,-0.511,-0.162,-0.026,-0.025,-0.055,-0.013,-0.006,-0.009,-0.104,-0.116
345.94357,28.08279,8775,M2 II-III,2.849,3.905,3.244,3.113,2.472,0.846,0.699,1.296,2.162,2.766,2.969,3.363,3.677
346.04576,50.05209,8780,K0 III,4.894,1.725,1.536,1.615,1.398,0.484,0.501,0.808,1.098,1.324,1.440,1.611,1.791
346.19022,15.20527,8781,B9.5 III,2.502,-0.017,-0.021,-0.125,-0.054,0.001,0.000,-0.018,0.007,-0.012,-0.018,-0.018,-0.007
346.71971,-43.52036,8787,F6 IV,4.390,0.464,0.400,0.429,0.513,0.203,0.241,0.346,,,,,
346.67019,-23.74312,8789,gG9,4.676,1.235,1.090,1.223,1.168,0.446,0.427,0.697,,,,,
346.75108,9.40949,8795,M2 III,4.973,3.464,2.986,2.968,2.340,0.665,0.792,1.276,1.877,2.314,2.503,2.807,3.062
346.77808,25.46826,8796,K0 Ibp,5.089,2.209,1.942,2.016,1.823,0.627,0.632,1.014,1.353,1.630,1.769,1.999,2.208
346.65341,59.41976,8797,B0.5 IV,4.821,-1.283,-1.190,-0.767,-0.116,0.067,0.008,0.023,0.046,0.030,-0.003,-0.094,-0.019
346.94894,63.63346,8808,B3 V,6.272,-0.906,-0.821,-0.488,-0.068,0.032,0.013,0.025,-0.003,-0.013,-0.042,-0.085,-0.142
347.36165,-21.17241,8812,K0 III,3.949,2.332,1.960,2.121,1.666,0.572,0.604,0.891,1.158,1.430,1.558,1.783,2.002
347.47874,-22.45762,8817,sgG2 + A2,4.861,0.967,0.863,0.838,0.790,0.336,0.341,0.554,,,,,
346.97439,75.38750,8819,G2 III,4.598,1.017,0.892,0.995,0.983,0.368,0.402,0.646,0.836,1.042,1.118,1.238,1.384
347.58974,-45.24671,8820,K0 III,4.141,1.745,1.485,1.619,1.362,0.482,0.494,0.754,0.963,1.179,1.272,1.419,1.621
348.13752,49.40621,8830,F0 V,4.597,0.216,0.149,0.212,0.340,0.149,0.153,0.253,0.356,0.450,0.472,0.499,0.557
348.32073,57.16836,8832,K3 V,5.872,1.443,1.311,1.586,1.280,0.318,0.618,0.928,1.175,1.420,1.498,1.665,1.839
348.58066,-6.04900,8834,M2 III,4.636,3.416,2.927,2.909,2.300,0.667,0.765,1.261,1.894,2.379,2.583,2.903,3.160
348.97289,-9.08774,8841,K0 III,4.514,1.897,1.716,1.783,1.484,0.488,0.544,0.840,1.104,1.363,1.473,1.642,1.804
349.35738,-58.23573,8848,F0 III,4.084,0.292,0.151,0.274,0.421,0.231,0.223,0.341,0.432,0.566,0.587,0.641,0.804
349.29141,3.28229,8852,G7 III,3.913,1.352,1.081,1.191,1.165,0.442,0.427,0.710,0.969,1.202,1.306,1.457,1.600
349.47589,-9.18252,8858,B5 V,4.396,-0.955,-0.866,-0.614,-0.200,-0.047,-0.030,-0.074,-0.101,-0.127,-0.165,-0.260,-0.276
349.43603,49.01530,8860,M2 III,5.231,3.741,3.185,3.105,2.465,0.785,0.743,1.310,2.058,2.588,2.799,3.170,3.468
349.70600,-32.53202,8863,G8 III,4.691,2.013,1.709,1.878,1.498,0.524,0.559,0.837,1.088,1.306,1.452,1.649,1.805
349.65622,68.11144,8872,K0 III,4.948,1.104,0.943,1.072,1.056,0.397,0.410,0.676,0.892,1.071,1.154,1.298,1.472
350.15934,23.74034,8880,A5 IV,4.606,0.236,0.186,0.159,0.169,0.075,0.083,0.134,0.186,0.273,0.282,0.325,0.369
350.74261,-20.10058,8892,K0 III,4.219,1.868,1.579,1.710,1.442,0.512,0.531,0.838,1.125,1.388,1.505,1.684,1.873
351.34493,23.40410,8905,F8 IV,4.557,0.516,0.390,0.494,0.677,0.290,0.293,0.499,0.689,0.838,0.876,0.962,1.039
351.51161,-20.64202,8906,K5 III,4.810,3.183,2.777,2.809,2.205,0.638,0.764,1.195,1.607,1.952,2.116,2.367,2.597
351.73315,1.25561,8911,"A0 p Cr(Si,Sr)",4.968,-0.069,-0.112,-0.004,0.039,-0.016,0.070,0.072,0.076,0.074,0.048,0.044,0.014
351.99206,6.37899,8916,K1 III,4.554,1.857,1.664,1.730,1.451,0.483,0.531,0.838,1.057,1.317,1.414,1.585,1.763
352.28874,12.76055,8923,G8 III,4.768,1.463,1.290,1.367,1.240,0.443,0.459,0.732,0.950,1.165,1.257,1.402,1.569
352.50808,58.54892,8926,B3 V,4.871,-1.069,-0.969,-0.639,-0.183,-0.028,-0.021,-0.039,-0.056,-0.076,-0.116,-0.200,-0.195
353.31926,-20.91450,8939,A1,4.705,0.108,0.087,-0.034,0.024,0.054,0.016,0.034,,,,,
354.39101,46.45815,8961,G8 III-IV,3.995,1.433,1.194,1.329,1.233,0.445,0.514,0.832,1.155,1.371,1.476,1.658,1.876
354.53417,43.26807,8965,B8 V,4.288,-0.488,-0.450,-0.405,-0.122,-0.014,-0.037,-0.033,-0.075,-0.082,-0.091,-0.076,-0.133
354.98767,5.62629,8969,F7 V,4.228,0.288,0.197,0.356,0.580,0.256,0.252,0.438,0.564,0.709,0.750,0.790,0.909
354.83688,77.63227,8974,K1 IV,3.480,1.700,1.533,1.650,1.360,0.431,0.505,0.812,1.036,1.287,1.395,1.533,1.726
355.10212,44.33393,8976,B8 V,4.136,-0.407,-0.368,-0.256,-0.119,-0.039,-0.012,-0.037,-0.070,-0.068,-0.090,-0.116,-0.065
355.44086,-17.81653,8982,G0 Ib,4.981,1.179,0.943,0.952,1.006,0.379,0.388,0.626,0.845,1.044,1.103,1.211,1.368
355.51169,1.78004,8984,A7 V,4.547,0.222,0.180,0.205,0.224,0.083,0.106,0.165,0.221,0.263,0.269,0.277,0.342
355.68060,-14.54490,8988,B9.5 V,4.456,-0.256,-0.214,-0.115,-0.047,0.003,-0.019,-0.038,-0.063,-0.084,-0.084,-0.097,-0.085
355.99786,29.36145,8997,K0 III,5.134,1.374,1.194,1.292,1.201,0.433,0.447,0.718,0.963,1.187,1.281,1.429,1.607
357.23144,-28.13027,9016,A0 V,4.570,-0.038,-0.022,-0.024,0.007,0.037,-0.003,-0.031,,,,,
358.59597,57.49938,9045,G0 Iap,4.811,2.311,1.814,1.537,1.407,0.641,0.572,0.865,1.177,1.435,1.638,1.850,2.028
359.43969,25.14140,9064,M3 III,5.024,3.197,2.775,2.712,2.262,0.785,0.700,1.272,2.133,2.721,2.960,3.358,3.668
359.75224,55.75493,9071,B1 V,4.894,-1.248,-1.159,-0.731,-0.148,0.014,0.002,-0.013,-0.053,-0.061,-0.085,-0.196,-0.192
359.82788,6.86332,9072,F4 IV,4.134,0.318,0.217,0.277,0.441,0.200,0.233,0.377,0.515,0.624,0.654,0.695,0.784
359.97907,-65.57713,9076,B9 IV,4.481,-0.342,-0.340,-0.358,-0.116,-0.005,0.003,-0.018,,,,,
0.39876,-77.06572,9084,K2 III,5.141,2.552,2.121,2.292,1.719,0.550,0.683,0.998,1.316,1.592,1.730,1.910,2.183
0.49008,-6.01407,9089,M3 III,4.805,3.697,3.067,2.927,2.330,0.843,0.650,1.259,2.220,2.837,3.093,3.522,3.867
0.58300,-29.72041,9091,B5 V,5.005,-0.895,-0.830,-0.566,-0.175,-0.009,-0.049,-0.081,,,,,
0.93495,-17.33599,9098,B9 IV,4.523,-0.133,-0.117,-0.195,-0.059,0.016,-0.018,-0.009,-0.038,-0.054,-0.029,-0.049,-0.014
